,Date,Post ID,Content Type,Sent by,Post,Impressions,Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Likes,Comments,Shares,Click-Through Rate,Other Post Clicks,Post Clicks (All),Post Photo View Clicks,Negative Feedback,Engaged Users,Engaged Fans,Users Talking About This,Unique Reactions,Unique Comments,Unique Shares,Unique Answers,Unique Post Clicks,Unique Post Photo View Clicks,Unique Other Post Clicks,Unique Negative Feedback,Weekday,Time,Positive Reactions,Negative Reactions,year_month,Sentiment,Sentiment_Label
0,2022-12-17 17:08:00,253788558082460_5441020446025886,Video,Damilare Oyekanmi,"We celebrated recently with Novare, one of our top clients on the 6th anniversary of their Novare Lekki mall opening. 
#TrustedPartner
#ITCANBE",445.0,207378.0,3.6,0.49,"1,024",176.0,59.0,2.0,0.0,784,784.0,,13.0,792,51,231,177,53.0,2.0,0.0,587,,577,13.0,Saturday,17,179.0,0.0,2022-12,0.2833333333333333,Positive
1,2019-05-04 10:01:00,253788558082460_2001824979945467,Photo, ,N5k can get you started today. Call 01 280 1266 or email assetmanagement@stanbicibtc.com.,2961.0,92009.0,1.76,6.39,"5,876",747.0,572.0,47.0,0.0,"4,495",4495.0,"1,089",10.0,"4,010","3,360","1,166",762,413.0,47.0,0.0,"3,412",931,"2,896",10.0,Saturday,10,762.0,0.0,2019-05,0.0,Neutral
2,2020-06-02 21:00:00,253788558082460_2768996106561680,Photo, ,"Still not sure whether to invest in the FGN Bonds? 
Here are 5 reasons why you should. Call us on 01 422 0004 or email stockbroking@stanbicibtc.com and let us get you started.",850.0,84347.0,4.24,5.62,"4,744",458.0,855.0,29.0,0.0,"3,395",3395.0,738,5.0,"2,328","2,033",834,446,423.0,28.0,0.0,"1,948",713,"1,470",5.0,Tuesday,21,464.0,1.0,2020-06,-0.25,Negative
3,2022-05-09 10:37:00,253788558082460_4808157902645480,Photo,Damilare Oyekanmi,"Let nothing stop you from achieving your goals this new week. #GoForIt 💪🏾 

#MondayMotivation​
#ITCANBE​",1499.0,78407.0,3.4,0.57,445,101.0,11.0,2.0,0.0,330,330.0,23,1.0,378,43,110,100,9.0,2.0,0.0,290,23,275,1.0,Monday,10,102.0,0.0,2022-05,0.13636363636363635,Positive
4,2021-07-18 10:00:00,253788558082460_3890983261029620,Photo, ,"If you were to pick one wish, what would it be?
#ITCANBE",1184.0,74035.0,1.52,6.39,"4,730",383.0,869.0,10.0,0.0,"3,438",3438.0,125,3.0,"2,855","2,261","1,061",404,797.0,9.0,0.0,"2,570",124,"2,528",3.0,Sunday,10,413.0,0.0,2021-07,0.0,Neutral
5,2023-02-09 13:31:00,253788558082460_5598647623596500,Photo,Damilare Oyekanmi,"Tomorrow is the last day! Don’t get caught in the rush hour. Deposit your old Naira notes at any nearby Stanbic IBTC branch.

#ITCANBE",4598.0,72692.0,1.52,9.52,"6,919",614.0,247.0,40.0,0.0,"5,989",5989.0,215,2.0,"4,046","3,117",838,643,180.0,38.0,0.0,"3,510",210,"3,376",2.0,Thursday,13,638.0,5.0,2023-02,0.05,Positive
6,2023-03-26 11:55:00,253788558082460_5740170576110870,Photo,Damilare Oyekanmi,"Your prayers for your dream home can be answered! Go for a home loan today.​
Visit https://bit.ly/StanbicIBTCHomeLoans now to get started.​

#ITCANBE",1142.0,69979.0,1.93,1.13,793,117.0,30.0,2.0,0.04,609,638.0,178,3.0,506,178,141,122,20.0,2.0,0.0,393,177,338,3.0,Sunday,11,123.0,0.0,2023-03,0.0,Neutral
7,2023-01-04 17:44:00,253788558082460_5490828921045038,Photo,Damilare Oyekanmi,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
#ITCANBE

Image Source - Central Bank of Nigeria",1235.0,69015.0,1.46,7.15,"4,933",462.0,83.0,61.0,0.0,"4,305",4307.0,"1,168",2.0,"3,666","3,168",563,478,61.0,52.0,0.0,"3,324","1,173","2,261",2.0,Wednesday,17,482.0,0.0,2023-01,0.12828282828282828,Positive
8,2017-12-29 10:00:00,253788558082460_1377511509043487,Photo, ,"Find the missing letters
H_ _e   _ l_ _e

Hint – It’s a movie of a boy who was forgotten at home.",930.0,67550.0,1.61,9.94,"6,713",502.0,702.0,7.0,0.0,"5,481",5481.0,978,11.0,"4,514","4,142",955,509,520.0,7.0,0.0,"4,227",857,"3,900",11.0,Friday,10,523.0,0.0,2017-12,-0.2,Negative
9,2020-07-22 10:00:00,253788558082460_2894769370651019,Photo, ,"Experience financial confidence and freedom. Open a BluEdge account today!
Call 0700 909 909 909 or email CustomerCareNigeria@stanbicibtc.com for more details.",1111.0,63094.0,2.16,3.57,"2,254",291.0,430.0,17.0,0.0,"1,512",1512.0,254,4.0,"1,212","1,107",506,295,223.0,15.0,0.0,939,244,741,4.0,Wednesday,10,294.0,1.0,2020-07,0.16666666666666666,Positive
10,2023-02-10 09:10:00,253788558082460_5601379799989949,Photo,Damilare Oyekanmi,"A gentle reminder: Old 200, 500, and 1000 Naira notes will no longer be accepted as a legal tender after today. Deposit the old notes at any Stanbic IBTC branch close to you. 

#ITCANBE",1381.0,62711.0,1.59,10.37,"6,505",471.0,264.0,65.0,0.0,"5,685",5686.0,250,0.0,"3,847","3,023",665,471,185.0,63.0,0.0,"3,521",247,"3,450",0.0,Friday,9,487.0,3.0,2023-02,0.15,Positive
