,Date,Post ID,Post Type,Content Type,Sent by,Link,Post,Impressions,Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Likes,Comments,Saves,Weekday,Time,Post Link Clicks,year_month,Sentiment,Sentiment_Label
0,2023-01-30 17:06:00,18216468940204235,Post,Carousel, ,https://www.instagram.com/p/CoC6CKBIHbV/,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
Image Source - @centralbankng 
#ITCANBE",,32418.0,4.89,5.99,,1261.0,56.0,625.0,Monday,17,,2023-01,0.15393939393939393,Positive
1,2022-04-15 09:04:00,17971531720518163,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CcXUQTEMRm7/,"We hope the faith that this #GoodFriday restores abides with you and your loved ones. 
#TGIF
#ITCANBE",,25055.0,6.04,7.04,,709.0,1033.0,21.0,Friday,9,,2022-04,0.7,Positive
2,2021-05-28 20:45:00,18008486986321009,Post,Video, ,https://www.instagram.com/p/CPbcdjygiaK/,"Reposted from @mzdosunmu My son's entry
#ITCANBE
@stanbicibtc",63.0,19237.0,3.48,3.83,6.0,702.0,23.0,11.0,Friday,20,3.0,2021-05,0.0,Neutral
3,2023-01-04 16:08:00,17903404469640387,Post,Carousel, ,https://www.instagram.com/p/Cm_2oino-Me/,"The new Naira banknotes in circulation have several security features for ease of recognition which can be easily seen and touched.
Please deposit your old N200, N500 and N1000 naira notes at any Stanbic IBTC branch near you.
Image Source - @centralbankng 
#ITCANBE",164.0,18993.0,4.48,5.53,3.0,677.0,36.0,337.0,Wednesday,16,2.0,2023-01,0.15393939393939393,Positive
4,2021-12-07 18:52:00,17950858072558814,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CXMNAKFsjSs/,"If you were born in June, ‘cut soap for us oh’! 🤣 
 #ITCANBE",376.0,18335.0,6.58,7.54,19.0,757.0,606.0,20.0,Tuesday,18,8.0,2021-12,0.0,Neutral
5,2021-05-29 06:18:00,18146933737167980,Post,Video, ,https://www.instagram.com/p/CPceGMmABue/,"Reposted from @greaterpharez My entry video 
#itcanbe 
@stanbicibtc",343.0,18081.0,3.3,3.59,7.0,616.0,24.0,9.0,Saturday,6,7.0,2021-05,0.0,Neutral
6,2021-05-28 10:00:00,17878896131295377,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPaStkeA6fY/,"Imagine you are all dressed up for your #TGIF groove and you are going to jump bus to get there ☹️ . That’s not good enough…
Let us finance the purchase of your dream car from Geely at just 5% interest rate!
Contact StanbicNigeria-VAF@stanbicibtc.com to begin!",418.0,17719.0,2.71,2.95,20.0,416.0,91.0,15.0,Friday,10,10.0,2021-05,-0.5,Negative
7,2021-07-18 16:00:00,17909329744878266,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CReQcfttIQB/,"If you were to pick one wish, what would it be?
#ITCANBE",241.0,17710.0,5.39,5.85,5.0,539.0,484.0,13.0,Sunday,16,0.0,2021-07,0.0,Neutral
8,2021-11-23 15:49:00,17899732016466513,Post,Photo,Blessing Ubah,https://www.instagram.com/p/CWn07iVsJYp/,"If you could choose, which one would you pick? 

Tell us in the comment section.

#ITCANBE",236.0,17049.0,4.56,5.0,4.0,479.0,351.0,23.0,Tuesday,15,1.0,2021-11,0.0,Neutral
9,2022-01-15 16:10:00,17921193218137284,Post,Video, ,https://www.instagram.com/tv/CYwVhSTgymC/,"What did you get when you took a screenshot? 😁

Share your screenshot in your stories and tag us or in the comments.

#ITCANBE",506.0,16250.0,3.04,3.27,23.0,328.0,185.0,19.0,Saturday,16,11.0,2022-01,0.0,Neutral
10,2021-05-28 21:15:00,17878787420353962,Post,Video, ,https://www.instagram.com/p/CPbf38CAN7z/,Reposted from @brit.407 #itcanbe this girl really made me laugh so hard today,585.0,16196.0,2.93,3.19,27.0,492.0,16.0,8.0,Friday,21,19.0,2021-05,0.06944444444444443,Positive
11,2021-05-29 13:50:00,17908095256872553,Post,Video, ,https://www.instagram.com/p/CPdRzp-AWas/,"Reposted from @princessk0310 #icanbe 
@stanbicibtc",631.0,16118.0,3.14,3.34,27.0,518.0,11.0,10.0,Saturday,13,11.0,2021-05,0.0,Neutral
12,2021-05-29 14:56:00,17952556465456071,Post,Video, ,https://www.instagram.com/p/CPdZUYVAp0U/,"Reposted from @francisbondd @babybikersng wants to work with @officialefcc to stop 🛑 crime 
Cc @stanbicibtc #itcanbe",371.0,16094.0,3.6,3.73,12.0,543.0,49.0,8.0,Saturday,14,10.0,2021-05,0.2,Positive
13,2022-04-14 19:08:00,18187740172162623,Post,Photo,Sophia Amuka,https://www.instagram.com/p/CcV0oBNsnqJ/,"Looking for the next big opportunity? Do you have what it takes to join the Blue team in the North?
Visit  https://bit.ly/RegionalTalentHunt or Scan the QR Code to come on board!

#ITCANBE",337.0,16018.0,1.08,1.22,7.0,76.0,117.0,2.0,Thursday,19,5.0,2022-04,0.0,Neutral
14,2021-05-29 15:02:00,17932713559523088,Post,Video, ,https://www.instagram.com/p/CPdZ_ogAQQu/,Reposted from @realpeter30 @stanbicibtc #icanbe,525.0,15869.0,2.83,3.0,23.0,447.0,11.0,18.0,Saturday,15,12.0,2021-05,0.0,Neutral
15,2021-05-29 06:17:00,18228888385037892,Post,Video, ,https://www.instagram.com/p/CPcd7Jigmgh/,"Reposted from @chinasaemeji Kindly like and follow @stanbicibtc  #ITCANBE @stanbicibtc

#ijzion #gainwithzion 
#explore #explorepage #gaintrick #mrgain #gainwithmchina #gainwithspikes  #universe #nigeria #madeinkenya #iamnairobian #gainwiththbundi #igerskenya #black #iamnairobian #10over10 #publicity254 #nairobikenya #followforfollow #gainwithxtiandela #memes #likeforlikes #followforfollowback #gainwithmtaaraw #followme #followforfollowers",2088.0,15798.0,4.96,5.3,63.0,753.0,76.0,8.0,Saturday,6,44.0,2021-05,0.21666666666666667,Positive
16,2021-04-03 14:33:00,17880602222206010,Post,Video, ,https://www.instagram.com/tv/CNNJ_JigAKc/,"Are you there? 😁 Make sure you don’t miss the @stanbicibtc Youth Leadership series!! Click the link in my bio to register. It will be Fantabulous!! 
First 400 people to log in on Thursday get free data. There are also lots of freebies to be won. 
Let us be doing well together because IT CaN BE with StanbicIbtc 
.
.
W/ @jisola00

#YLS2021 
#ITCANBE",253.0,15671.0,4.17,4.75,7.0,684.0,36.0,24.0,Saturday,14,4.0,2021-04,0.5499999999999999,Positive
17,2021-05-29 18:42:00,17958424855432085,Post,Video, ,https://www.instagram.com/p/CPdzKsUAeQ6/,Reposted from @kaleed229 My Entry @stanbicibtc #icanbe,385.0,15307.0,2.32,2.39,12.0,305.0,55.0,6.0,Saturday,18,2.0,2021-05,0.0,Neutral
18,2021-05-28 15:00:00,17938276519518750,Post,Photo,Kemi Amoo,https://www.instagram.com/p/CPa1DuuDyYm/,"Your health is something you shouldn’t take chances with. We have the #BestInsuranceDeals to cover your health.
To begin, visit our link in the bio and click on ‘Let’s help you get the best insurance deals’

#ITCANBE",639.0,14854.0,1.79,1.93,16.0,275.0,2.0,10.0,Friday,15,9.0,2021-05,1.0,Positive
