,Date,Post ID,Post Type,Content Type,Sent by,Link,Post,Impressions,Engagement Rate (per Impression),Engagements,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Weekday,Time,year_month,Sentiment,Sentiment_Label
0,2023-07-13 12:03:00,7085212016608456704,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7085212016608456704,"Your money should not be a gamble. Before you invest, do your own personal research on the historical performance of the stocks and ensure you invest with a credible firm like Stanbic IBTC Stockbrokers.
Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
#Invest
",0.0,0.0,,,,,,0.0,Thursday,12,2023-07,0.16,Positive
1,2023-07-12 20:00:00,7084969706025009152,Post,Text,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084969706025009152,"What skill (s) do you have, that no one ever taught you? 
Share in the comments!
#ITCANBE
",0.0,0.0,,,,,,0.0,Wednesday,20,2023-07,0.0,Neutral
2,2023-07-12 19:00:00,7084954641788018688,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7084954641788018688,"Sade was able to acquire a home loan and make her dream a reality, you too can. Visit https://lnkd.in/dASbfHCz today and let’s help you get that house of your dreams.
#WealthWednesday
#ITCANBE
",63.0,9.52,6.0,3.0,0.0,0.0,4.76,3.0,Wednesday,19,2023-07,0.5,Positive
3,2023-07-11 14:49:00,7084529022105231360,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084529022105231360,"Safeguard every aspect of your operations with our comprehensive insurance cover. Email insurancesolution@stanbicibtc.com today to secure your organisation's future.
#ITCANBE

",164.0,1.83,3.0,1.0,0.0,0.0,1.22,2.0,Tuesday,14,2023-07,0.2,Positive
4,2023-07-11 09:17:00,7084445462967070721,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084445462967070721,"Together, we can make a difference and build a brighter tomorrow.  🤝 
#GlobalUnityForTomorrow
#WorldPopulationDay
#ITCANBE
",376.0,5.05,19.0,11.0,0.0,0.0,2.13,8.0,Tuesday,9,2023-07,0.0,Neutral
5,2023-07-10 18:04:00,7084215735241052161,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084215735241052161,"Hey CEOs, it’s time to say goodbye to complexities and hello to seamless operations.
Stay Tuned! 😉
#ITCANBE",343.0,2.04,7.0,0.0,0.0,0.0,2.04,7.0,Monday,18,2023-07,0.125,Positive
6,2023-07-10 16:21:00,7084189782313943041,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084189782313943041,"With the Stanbic IBTC SME Online-Bento Redirect Solution, you can easily sort out staff salaries and taxes. Email SpecialisedSectors@stanbicibtc.com to get started.
#ITCANBE",418.0,4.78,20.0,9.0,0.0,1.0,2.39,10.0,Monday,16,2023-07,0.43333333333333335,Positive
7,2023-07-10 14:43:00,7084165117235388416,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084165117235388416,"Embark on your retirement journey with us as your trusted companion guaranteeing a smile at every step along the way. Visit www.stanbicibtcpension.com and let’s walk you to your extraordinary future.
#ITCANBE
",241.0,2.07,5.0,4.0,0.0,1.0,0.0,0.0,Monday,14,2023-07,0.2111111111111111,Positive
8,2023-07-10 11:48:00,7084121080704942080,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084121080704942080,"Discover the joy of investing in stocks and unlock the potential for happiness and financial growth. Send an email to StartWithZero@stanbicibtc.com to get started.​​
#ITCANBE
",236.0,1.69,4.0,3.0,0.0,0.0,0.42,1.0,Monday,11,2023-07,0.375,Positive
9,2023-07-10 08:39:00,7084073512281210881,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7084073512281210881,"Remember, self-love fuels your external glow. 💙 
#ITCANBE
#Selflove
#MondayMotivation
",506.0,4.55,23.0,9.0,1.0,2.0,2.17,11.0,Monday,8,2023-07,0.0,Neutral
10,2023-07-09 19:53:00,7083880746637008896,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:ugcPost:7083880746637008896,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE
",585.0,4.62,27.0,7.0,0.0,1.0,3.25,19.0,Sunday,19,2023-07,0.44166666666666665,Positive
11,2023-07-09 17:00:00,7083837214903721984,Post,Photo,Blessing Ubah,https://linkedin.com/feed/update/urn:li:share:7083837214903721984,"With the control of your finances at your fingertips, you can enjoy easy banking. 
#ITCANBE
",631.0,4.28,27.0,14.0,0.0,2.0,1.74,11.0,Sunday,17,2023-07,0.4166666666666667,Positive
